dataset,method,mean_ari,std_ari,mean_n_eval,mean_gamma,mean_time,hypothesis,metric,mean_nmi,std_nmi,mean_silhouette,std_silhouette
H1-Medium,Default-KP,,,1.0,1.0485656336434175,0.12949965794881185,H1,silhouette,,,0.5019719928279105,0.04196404678320722
H1-Medium,Grid-Log,,,15.0,0.47729947669291145,1.602554980913798,H1,silhouette,,,0.5187572510322018,0.00015092207064349166
H1-Medium,Random,,,15.0,0.6511357392314917,1.5935653527577718,H1,silhouette,,,0.5186833841689682,0.0005579252280843013
H1-Medium,DMKPO-Lin,,,15.0,0.0010000000000000002,1.6344502846399942,H1,silhouette,,,0.5026128222490717,0.042426577044479545
H1-Medium,DMKPO-Log,,,15.0,0.47729947669291145,1.5997406641642253,H1,silhouette,,,0.5187572510322018,0.00015092207064349166
H1-Hard,Default-KP,0.921907743512806,0.18634363124275227,1.0,1.3204145009412946,0.11836646397908529,H1,ari,,,,
H1-Hard,Grid-Log,0.9949958125176229,2.220446049250313e-16,15.0,0.0011682695795279727,1.3748355547587077,H1,ari,,,,
H1-Hard,Random,0.9951626187670354,0.0008982791439466283,15.0,0.7249102868778492,1.407256531715393,H1,ari,,,,
H1-Hard,DMKPO-Lin,0.9219641002361182,0.18619911013413407,15.0,0.0010000000000000002,1.5341918071111043,H1,ari,,,,
H1-Hard,DMKPO-Log,0.9949958125176229,2.220446049250313e-16,15.0,0.0011682695795279727,1.3604330142339072,H1,ari,,,,
H1-Hard,Default-KP,,,1.0,1.3204145009412946,0.11836646397908529,H1,nmi,0.9449185756571529,0.11607149578555939,,
H1-Hard,Grid-Log,,,15.0,0.0011682695795279727,1.3748355547587077,H1,nmi,0.9904450108675148,2.220446049250313e-16,,
H1-Hard,Random,,,15.0,0.7249102868778492,1.407256531715393,H1,nmi,0.9907635105052643,0.001715173040293692,,
H1-Hard,DMKPO-Lin,,,15.0,0.0010000000000000002,1.5341918071111043,H1,nmi,0.9449420874079347,0.1160113138952886,,
H1-Hard,DMKPO-Log,,,15.0,0.0011682695795279727,1.3604330142339072,H1,nmi,0.9904450108675148,2.220446049250313e-16,,
H1-Hard,Default-KP,,,1.0,1.3204145009412946,0.11836646397908529,H1,silhouette,,,0.5963156202572105,0.06296064749903599
H1-Hard,Grid-Log,,,15.0,0.0011682695795279727,1.3748355547587077,H1,silhouette,,,0.621007230314671,0.0
H1-Hard,Random,,,15.0,0.7249102868778492,1.407256531715393,H1,silhouette,,,0.6209136295724202,0.0003932578483932684
H1-Hard,DMKPO-Lin,,,15.0,0.0010000000000000002,1.5341918071111043,H1,silhouette,,,0.5964238011338828,0.06268264052963765
H1-Hard,DMKPO-Log,,,15.0,0.0011682695795279727,1.3604330142339072,H1,silhouette,,,0.621007230314671,0.0
H2-Easy,Default-KP,0.360472756621654,0.05822114272288345,1.0,0.5769724941087742,0.1920355717341105,H2,ari,,,,
H2-Easy,Grid-Log,0.7345006381889763,1.1102230246251565e-16,15.0,7.196856730011515,1.961237359046936,H2,ari,,,,
H2-Easy,Random,0.7373439019697758,0.004021090421737797,15.0,149.93703298071497,2.036379822095235,H2,ari,,,,
H2-Easy,DMKPO-Lin,0.10760975447854089,0.0005265566788111678,15.0,0.0010000000000000002,1.2269134918848674,H2,ari,,,,
H2-Easy,DMKPO-Log,0.7345006381889763,1.1102230246251565e-16,15.0,7.196856730011515,1.9560272852579752,H2,ari,,,,
H2-Easy,Default-KP,,,1.0,0.5769724941087742,0.1920355717341105,H2,nmi,0.3205350614099872,0.04107678413856055,,
H2-Easy,Grid-Log,,,15.0,7.196856730011515,1.961237359046936,H2,nmi,0.6585111121556092,1.1102230246251565e-16,,
H2-Easy,Random,,,15.0,149.93703298071497,2.036379822095235,H2,nmi,0.6614197329338165,0.004113637033938992,,
H2-Easy,DMKPO-Lin,,,15.0,0.0010000000000000002,1.2269134918848674,H2,nmi,0.12533845483980793,0.00013890834529249764,,
H2-Easy,DMKPO-Log,,,15.0,7.196856730011515,1.9560272852579752,H2,nmi,0.6585111121556092,1.1102230246251565e-16,,
H2-Easy,Default-KP,,,1.0,0.5769724941087742,0.1920355717341105,H2,silhouette,,,0.27431731232690854,0.04924243400031081
H2-Easy,Grid-Log,,,15.0,7.196856730011515,1.961237359046936,H2,silhouette,,,-0.007712755020058656,1.734723475976807e-18
H2-Easy,Random,,,15.0,149.93703298071497,2.036379822095235,H2,silhouette,,,-0.002969660792866634,0.006937834126668031
H2-Easy,DMKPO-Lin,,,15.0,0.0010000000000000002,1.2269134918848674,H2,silhouette,,,0.5351434437250464,7.826540590591856e-05
H2-Easy,DMKPO-Log,,,15.0,7.196856730011515,1.9560272852579752,H2,silhouette,,,-0.007712755020058656,1.734723475976807e-18
H2-Medium,Default-KP,0.8544975163405291,0.07824281353911777,1.0,1.0022845589134992,0.13945787747701008,H2,ari,,,,
H2-Medium,Grid-Log,0.929935522395868,0.00795259711913754,15.0,2.983639857595178,1.827893892923991,H2,ari,,,,
H2-Medium,Random,0.9127831034318452,0.026232380847489366,15.0,4.321816007501316,1.8290052890777588,H2,ari,,,,
H2-Medium,DMKPO-Lin,0.7272057928418001,0.077966552377002,15.0,0.0010000000000000002,1.62999374071757,H2,ari,,,,
H2-Medium,DMKPO-Log,0.929935522395868,0.00795259711913754,15.0,2.983639857595178,1.8243945598602296,H2,ari,,,,
H2-Medium,Default-KP,,,1.0,1.0022845589134992,0.13945787747701008,H2,nmi,0.8329693646575371,0.041173156879524185,,
H2-Medium,Grid-Log,,,15.0,2.983639857595178,1.827893892923991,H2,nmi,0.9016806963244098,0.007092756993655399,,
H2-Medium,Random,,,15.0,4.321816007501316,1.8290052890777588,H2,nmi,0.8839117846912787,0.028447732001290034,,
H2-Medium,DMKPO-Lin,,,15.0,0.0010000000000000002,1.62999374071757,H2,nmi,0.7282985450109218,0.03065277325862482,,
H2-Medium,DMKPO-Log,,,15.0,2.983639857595178,1.8243945598602296,H2,nmi,0.9016806963244098,0.007092756993655399,,
H2-Medium,Default-KP,,,1.0,1.0022845589134992,0.13945787747701008,H2,silhouette,,,0.4474554910498592,0.0028229839249905063
H2-Medium,Grid-Log,,,15.0,2.983639857595178,1.827893892923991,H2,silhouette,,,0.4087092327721736,0.010749541730439986
H2-Medium,Random,,,15.0,4.321816007501316,1.8290052890777588,H2,silhouette,,,0.40274102557060937,0.0259098956313915
H2-Medium,DMKPO-Lin,,,15.0,0.0010000000000000002,1.62999374071757,H2,silhouette,,,0.47642442154911524,0.0025537508052310342
H2-Medium,DMKPO-Log,,,15.0,2.983639857595178,1.8243945598602296,H2,silhouette,,,0.4087092327721736,0.010749541730439986
H2-Hard,Default-KP,0.9248273136470396,0.08961178030195892,1.0,1.2676720266548789,0.14087881247202555,H2,ari,,,,
H2-Hard,Grid-Log,0.9652461722779055,0.013016093376172178,15.0,2.458336355909095,1.72124125957489,H2,ari,,,,
H2-Hard,Random,0.9482333429606379,0.02017302185880638,15.0,2.744957565737579,1.7097408771514893,H2,ari,,,,
H2-Hard,DMKPO-Lin,0.8206627914116965,0.10118134313939674,15.0,0.0010000000000000002,1.5383745272954306,H2,ari,,,,
H2-Hard,DMKPO-Log,0.9652461722779055,0.013016093376172178,15.0,2.458336355909095,1.7205159346262613,H2,ari,,,,
H2-Hard,Default-KP,,,1.0,1.2676720266548789,0.14087881247202555,H2,nmi,0.9049462724252743,0.04945151386792493,,
H2-Hard,Grid-Log,,,15.0,2.458336355909095,1.72124125957489,H2,nmi,0.9466234618098066,0.016884667147915425,,
H2-Hard,Random,,,15.0,2.744957565737579,1.7097408771514893,H2,nmi,0.9250356999862331,0.023726205316161743,,
H2-Hard,DMKPO-Lin,,,15.0,0.0010000000000000002,1.5383745272954306,H2,nmi,0.8092179805258638,0.04560583257286452,,
H2-Hard,DMKPO-Log,,,15.0,2.458336355909095,1.7205159346262613,H2,nmi,0.9466234618098066,0.016884667147915425,,
H2-Hard,Default-KP,,,1.0,1.2676720266548789,0.14087881247202555,H2,silhouette,,,0.5364117574586763,0.001398091781493655
H2-Hard,Grid-Log,,,15.0,2.458336355909095,1.72124125957489,H2,silhouette,,,0.5242151870640525,0.00592049181290199
H2-Hard,Random,,,15.0,2.744957565737579,1.7097408771514893,H2,silhouette,,,0.5234754059428197,0.015815189405053182
H2-Hard,DMKPO-Lin,,,15.0,0.0010000000000000002,1.5383745272954306,H2,silhouette,,,0.5494759347614216,0.0056511661578523605
H2-Hard,DMKPO-Log,,,15.0,2.458336355909095,1.7205159346262613,H2,silhouette,,,0.5242151870640525,0.00592049181290199
Control-Balanced,Default-KP,0.9966648086454388,2.220446049250313e-16,1.0,1.1943955691454398,0.20880579153696696,Control,ari,,,,
Control-Balanced,Grid-Log,1.0,0.0,15.0,2.983639857595178,2.41952653725942,Control,ari,,,,
Control-Balanced,Random,1.0,0.0,15.0,220.653459685354,2.4103938976923627,Control,ari,,,,
Control-Balanced,DMKPO-Lin,0.9966648086454388,2.220446049250313e-16,15.0,0.0010000000000000002,1.9388262510299683,Control,ari,,,,
Control-Balanced,DMKPO-Log,1.0,0.0,15.0,2.983639857595178,2.42313863436381,Control,ari,,,,
Control-Balanced,Default-KP,,,1.0,1.1943955691454398,0.20880579153696696,Control,nmi,0.9932199395829049,2.220446049250313e-16,,
Control-Balanced,Grid-Log,,,15.0,2.983639857595178,2.41952653725942,Control,nmi,1.0,0.0,,
Control-Balanced,Random,,,15.0,220.653459685354,2.4103938976923627,Control,nmi,1.0,0.0,,
Control-Balanced,DMKPO-Lin,,,15.0,0.0010000000000000002,1.9388262510299683,Control,nmi,0.9932199395829049,2.220446049250313e-16,,
Control-Balanced,DMKPO-Log,,,15.0,2.983639857595178,2.42313863436381,Control,nmi,1.0,0.0,,
Control-Balanced,Default-KP,,,1.0,1.1943955691454398,0.20880579153696696,Control,silhouette,,,0.559802516229668,1.1102230246251565e-16
Control-Balanced,Grid-Log,,,15.0,2.983639857595178,2.41952653725942,Control,silhouette,,,0.5593903411017995,1.1102230246251565e-16
Control-Balanced,Random,,,15.0,220.653459685354,2.4103938976923627,Control,silhouette,,,0.5593903411017995,1.1102230246251565e-16
Control-Balanced,DMKPO-Lin,,,15.0,0.0010000000000000002,1.9388262510299683,Control,silhouette,,,0.559802516229668,1.1102230246251565e-16
Control-Balanced,DMKPO-Log,,,15.0,2.983639857595178,2.42313863436381,Control,silhouette,,,0.5593903411017995,1.1102230246251565e-16
