dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
Heart Disease,0.02848035868435802,-1.5454545454545454,1412.3445229802687,0.3857186873224311,0.2315459807264139,0.004784311249996441
Heart Disease,0.03274549162877728,-1.4848484848484849,1415.2920847203907,0.4155022387632032,0.2418937639040164,0.00320883433021747
Heart Disease,0.037649358067924674,-1.4242424242424243,1419.2739087832172,0.42181916677200515,0.23412338886379774,0.004823310023018285
Heart Disease,0.04328761281083059,-1.3636363636363635,1423.3329792245254,0.38126873426536206,0.23672146106009992,0.006588670463953196
Heart Disease,0.049770235643321115,-1.303030303030303,1428.3540622985379,0.45897110276337827,0.2367351331228816,0.006582587610841602
Heart Disease,0.05722367659350217,-1.2424242424242424,1433.7322097730455,0.42208690815193733,0.23932429806353261,0.007071047229078466
Heart Disease,0.06579332246575682,-1.1818181818181817,1440.4681455626799,0.8169413177253916,0.24589041918251092,0.007276656334629221
Heart Disease,0.07564633275546291,-1.121212121212121,1447.4350307141995,0.5710110515311619,0.24059452228517847,0.0026145900443273018
Heart Disease,0.08697490026177834,-1.0606060606060606,1456.2701653253112,0.5505798252878978,0.24059018563458673,0.002611890032815457
Heart Disease,0.1,-1.0,1465.502839659539,0.20008423366882827,0.24319667199923695,0.003191855497264782
Heart Disease,0.11497569953977356,-0.9393939393939394,1477.2738588257885,0.6048585324083199,0.23930199497894292,0.004103144065748602
Heart Disease,0.13219411484660287,-0.8787878787878789,1489.443153604851,0.2129229765935749,0.2393223524805946,0.007079040533954836
Heart Disease,0.1519911082952933,-0.8181818181818183,1504.3597938711544,0.1974507015376716,0.24584056174452681,0.004177619270655237
Heart Disease,0.1747528400007685,-0.7575757575757573,1521.1167248441436,0.3805737326188066,0.24195536047473282,0.007854625500358056
Heart Disease,0.2009233002565048,-0.6969696969696968,1540.2148791539416,0.0778636790630386,0.2380329604689802,0.006375126597068269
Heart Disease,0.23101297000831603,-0.6363636363636362,1562.8239788417725,0.27530327026229157,0.24985238976896862,0.0067614693733503445
